x,y
0.9,13.46
0.9,13.47
0.9,13.48
0.9,13.49
0.9,13.5
0.9,13.51
0.9,13.52
0.9,13.530000000000001
0.9,13.540000000000001
0.9,13.55
0.9,13.56
0.9,13.57
0.9,13.58
0.9,13.59
0.9,13.6
0.9,13.61
0.9,13.620000000000001
0.9,13.63
0.9,13.64
0.9,13.65
0.9,13.66
0.9,13.67
0.9,13.68
0.9,13.69
0.9,13.700000000000001
0.9,13.71
0.9,13.72
0.9,13.73
0.9,13.74
0.9,13.75
0.9,13.76
0.9,13.77
0.9,13.780000000000001
0.9,13.790000000000001
0.9,13.8
0.9,13.81
0.9,13.82
0.9,13.83
0.9,13.84
0.9,13.85
0.9,13.86
0.9,13.870000000000001
0.9,13.88
0.9,13.89
0.9,13.9
0.9,13.91
0.9,13.92
0.9,13.93
0.9,13.94
0.9,13.950000000000001
0.9,13.96
0.9,13.97
0.9,13.98
0.9,13.99
0.9,14.0
0.9,14.01
0.9,14.02
0.9,14.030000000000001
0.9,14.040000000000001
0.9,14.05
0.9,14.06
0.9,14.07
0.9,14.08
0.9,14.09
0.9,14.1
0.9,14.11
0.9,14.120000000000001
0.9,14.13
0.9,14.14
0.9,14.15
0.9,14.16
0.9,14.17
0.9,14.18
0.9,14.19
0.9,14.200000000000001
0.9,14.21
0.9,14.22
0.9,14.23
0.9,14.24
0.9,14.25
0.9,14.26
0.9,14.27
0.9,14.280000000000001
0.9,14.290000000000001
0.9,14.3
0.9,14.31
0.9,14.32
0.9,14.33
0.9,14.34
0.9,14.35
0.9,14.36
0.9,14.370000000000001
0.9,14.38
0.9,14.39
0.9,14.4
0.9,14.41
0.9,14.42
0.9,14.43
0.9,14.44
0.9,14.450000000000001
0.9,14.46
0.9,14.47
0.9,14.48
0.9,14.49
0.9,14.5
0.9500000000000001,13.44
0.9500000000000001,13.450000000000001
0.9500000000000001,13.46
0.9500000000000001,14.5
0.9500000000000001,14.51
0.9500000000000001,14.52
0.9500000000000001,14.530000000000001
0.9500000000000001,14.540000000000001
1.0,13.450000000000001
1.0,14.540000000000001
1.0,14.55
1.05,13.450000000000001
1.05,13.46
1.05,14.55
1.05,14.56
1.05,14.57
1.1,13.46
1.1,13.47
1.1,14.57
1.1,14.58
1.1500000000000001,13.47
1.1500000000000001,14.58
1.1500000000000001,14.59
1.2000000000000002,13.47
1.2000000000000002,13.48
1.2000000000000002,14.59
1.2000000000000002,14.6
1.25,13.48
1.25,13.49
1.25,14.6
1.25,14.61
1.3,13.49
1.3,13.5
1.3,14.61
1.3,14.620000000000001
1.35,13.5
1.35,14.620000000000001
1.4000000000000001,13.5
1.4000000000000001,13.51
1.4000000000000001,14.620000000000001
1.4000000000000001,14.63
1.4500000000000002,13.51
1.4500000000000002,13.52
1.4500000000000002,14.63
1.4500000000000002,14.64
1.5,13.52
1.5,14.64
1.5,14.65
1.55,13.52
1.55,13.530000000000001
1.55,14.65
1.6,13.530000000000001
1.6,14.65
1.6,14.66
1.6500000000000001,13.530000000000001
1.6500000000000001,13.540000000000001
1.6500000000000001,14.66
1.6500000000000001,14.67
1.7000000000000002,13.540000000000001
1.7000000000000002,13.55
1.7000000000000002,14.67
1.75,13.55
1.75,14.67
1.75,14.68
1.8,13.55
1.8,13.56
1.8,14.68
1.85,13.56
1.85,14.68
1.85,14.69
1.9000000000000001,13.56
1.9000000000000001,13.57
1.9000000000000001,14.69
1.9500000000000002,13.57
1.9500000000000002,14.69
1.9500000000000002,14.700000000000001
2.0,13.57
2.0,13.58
2.0,14.700000000000001
2.0500000000000003,13.58
2.0500000000000003,13.59
2.0500000000000003,14.700000000000001
2.0500000000000003,14.71
2.1,13.59
2.1,14.71
2.15,13.59
2.15,13.6
2.15,14.71
2.15,14.72
2.2,13.6
2.2,14.72
2.25,13.6
2.25,13.61
2.25,14.72
2.25,14.73
2.3000000000000003,13.61
2.3000000000000003,14.73
2.35,13.61
2.35,14.73
2.4000000000000004,13.61
2.4000000000000004,13.620000000000001
2.4000000000000004,14.73
2.4000000000000004,14.74
2.45,13.620000000000001
2.45,14.74
2.5,13.620000000000001
2.5,13.63
2.5,14.74
2.5,14.75
2.5500000000000003,13.63
2.5500000000000003,14.75
2.6,13.63
2.6,13.64
2.6,14.75
2.6500000000000004,13.64
2.6500000000000004,14.75
2.6500000000000004,14.76
2.7,13.64
2.7,13.65
2.7,14.76
2.75,13.65
2.75,14.76
2.8000000000000003,13.65
2.8000000000000003,14.76
2.8000000000000003,14.77
2.85,13.65
2.85,13.66
2.85,14.77
2.9000000000000004,13.66
2.9000000000000004,14.77
2.95,13.66
2.95,13.67
2.95,14.77
3.0,13.67
3.0,14.77
3.0,14.780000000000001
3.0500000000000003,13.67
3.0500000000000003,13.68
3.0500000000000003,14.780000000000001
3.1,13.68
3.1,14.780000000000001
3.1500000000000004,13.68
3.1500000000000004,14.780000000000001
3.1500000000000004,14.790000000000001
3.2,13.68
3.2,13.69
3.2,14.790000000000001
3.25,13.69
3.25,14.790000000000001
3.3000000000000003,13.69
3.3000000000000003,14.790000000000001
3.35,13.69
3.35,13.700000000000001
3.35,14.790000000000001
3.35,14.8
3.4000000000000004,13.700000000000001
3.4000000000000004,14.8
3.45,13.700000000000001
3.45,13.71
3.45,14.8
3.5,13.71
3.5,14.8
3.5500000000000003,13.71
3.5500000000000003,14.8
3.6,13.71
3.6,13.72
3.6,14.8
3.6,14.81
3.6500000000000004,13.72
3.6500000000000004,14.81
3.7,13.72
3.7,14.81
3.75,13.72
3.75,13.73
3.75,14.81
3.8000000000000003,13.73
3.8000000000000003,14.81
3.85,13.73
3.85,14.81
